Mach;Cx0;Cya;B;B4;Omxmax;Aldop;Cymax
0.000000;0.015100;0.070000;0.134000;0.056700;0.500000;30.000000;2.400000
0.200000;0.015400;0.070000;0.134000;0.056000;1.500000;30.000000;2.400000
0.400000;0.015600;0.070000;0.134000;0.054900;2.500000;30.000000;2.400000
0.600000;0.016400;0.073000;0.134000;0.047400;3.500000;30.000000;2.400000
0.700000;0.017200;0.076000;0.134000;0.052000;3.500000;28.666667;2.360000
0.800000;0.020100;0.079000;0.144000;0.060700;3.500000;27.333333;2.320000
0.900000;0.028400;0.083000;0.159000;0.066600;3.500000;26.000000;2.280000
1.000000;0.053800;0.085000;0.219000;0.081200;3.500000;24.666667;2.240000
1.050000;0.053618;0.085455;0.248545;0.080973;3.500000;24.000000;2.220000
1.100000;0.053436;0.085909;0.278091;0.080745;3.150000;18.000000;2.200000
1.110000;0.053400;0.086000;0.284000;0.080700;3.080000;17.900000;2.190000
1.200000;0.049300;0.083000;0.350000;0.078400;2.450000;17.000000;2.100000
1.300000;0.045360;0.077000;0.400000;0.078000;1.750000;16.000000;2.000000
1.400000;0.043200;0.062000;0.468000;0.075100;1.625000;14.500000;1.900000
1.500000;0.042900;0.054000;0.545000;0.070800;1.500000;13.000000;1.800000
1.600000;0.042600;0.046000;0.622000;0.066500;1.200000;12.500000;1.600000
1.700000;0.041450;0.042500;0.743000;0.061800;0.900000;12.000000;1.400000
1.800000;0.040300;0.039000;0.864000;0.057100;0.860000;11.400000;1.280000
2.200000;0.037700;0.034000;1.000000;0.048000;0.700000;9.000000;0.800000
2.350000;0.037700;0.033000;1.000000;0.044800;0.700000;9.000000;0.800000
3.900000;0.037700;0.033000;1.000000;0.044800;0.700000;9.000000;0.800000
